x,y
52.74787855,-23.82362794
-30.58711035,19.13563231
-150.9751112,109.9916418
-28.69754965,14.74416083
-4.93755837,18.90933578
56.91509816,-52.8719888
-111.5388522,69.2655814
51.6069828,-31.89772404
18.85914235,1.416380834
0.889495292,-5.167182485
63.33257078,-46.94959795
75.51580778,-58.23429729
36.56864275,-19.08719818
-34.75830223,6.43881429
-1.802304901,21.06358362
0.648101887,6.991113954
37.52203903,-35.95033366
-94.2069766,46.2087801
54.18468168,-42.29079952
-61.07103977,56.60023325
-10.6824645,18.75234126
-128.572968,83.3474889
11.281648,18.20374771
-21.25685568,31.69013897
53.67453147,-47.08222614
46.44580087,-43.03033474
70.60685876,-55.14078556
56.21387142,-47.71818971
-48.66757032,34.94734419
73.73298271,-61.2759499
-81.82756036,72.22717274
-10.7160035,-2.002403497
-81.14412269,66.68271189
48.26662315,-38.08366796
-74.37328695,52.16266146
-36.46226695,2.647712437
-100.7895534,67.49802816
-95.81184479,33.96978225
-50.3759961,68.53540137
-13.25273249,17.56720385
-28.740015,28.06917814
41.25433482,-47.18334303
63.75565495,-50.92803123
-12.33789419,2.581758791
25.04422216,-17.71133067
-24.11716397,24.08765516
-47.26731927,45.60290695
60.62347961,-58.1631781
23.21750122,-25.03445983
36.35998886,-43.31241273
67.73985342,-57.25139891
54.79318353,-40.24142441
13.91991375,-8.288617618
64.35631946,-53.2742414
68.69107172,-51.74001159
15.70928691,-14.71628592
-5.604157169,11.74780383
53.07933352,-51.81704446
-6.434191442,18.78285248
24.58778544,-18.37190197
-101.1246486,90.8860862
8.655655028,13.51468555
-37.16814953,20.56957861
-12.76741945,18.10374535
-166.9748039,189.6581689
-50.54499711,45.01261797
-24.77381414,43.97258209
-86.23804466,48.29632964
59.64394817,-54.83905161
66.23821435,-59.13283334
-8.312542248,-5.8201749
33.3852392,-38.41722513
20.29244717,9.852124021
-79.33008221,95.78666068
-1.054884776,-2.916487868
59.98510872,-47.73801552
-56.50748285,16.90308959
70.33917279,-61.99224675
14.87074853,-6.041343675
41.1289296,-34.21370598
-83.01037547,64.79927627
20.90117162,-5.004251832
30.95707388,-40.09086063
66.56097985,-45.63135289
-36.68427337,43.70757277
55.54031844,-45.41457561
-59.7030546,19.42030284
14.54277808,-6.813151489
64.1887295,-56.3631357
-24.10064971,6.896227916
31.70023234,-24.22570393
-14.0014954,-1.98880825
-5.466243086,2.058959774
43.37463677,-26.84664444
73.79387127,-54.21014011
46.52779105,-32.96745799
